iter	Passed	Remaining
665	792	397
666	793	396
667	794	394
668	795	393
669	796	392
670	797	390
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	803	383
677	804	381
678	805	380
679	806	379
680	807	378
681	808	376
682	808	375
683	809	374
684	810	372
685	811	371
686	812	370
687	813	368
688	813	367
689	814	366
690	815	364
691	816	363
692	817	362
693	818	360
694	819	359
695	820	358
696	821	357
697	822	355
698	823	354
699	824	353
700	825	351
701	826	350
702	826	349
703	827	348
704	828	346
705	829	345
706	830	344
707	831	342
708	832	341
709	832	340
710	833	338
711	834	337
712	835	336
713	836	334
714	837	333
715	838	332
716	839	331
717	840	329
718	841	328
719	842	327
720	843	326
721	843	324
722	844	323
723	845	322
724	846	321
725	847	319
726	848	318
727	849	317
728	850	316
729	851	314
730	852	313
731	853	312
732	854	311
733	854	309
734	855	308
735	856	307
736	857	306
737	858	304
738	859	303
739	860	302
740	861	301
741	862	299
742	863	298
743	864	297
744	865	296
745	866	294
746	867	293
747	868	292
748	869	291
749	869	289
750	870	288
751	871	287
752	872	286
753	874	285
754	875	284
755	876	282
756	877	281
757	878	280
758	879	279
759	880	277
760	881	276
761	881	275
762	882	274
763	884	273
764	885	271
765	885	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	891	263
772	892	262
773	893	260
774	894	259
775	895	258
776	895	257
777	896	255
778	897	254
779	898	253
780	899	252
781	900	251
782	901	249
783	902	248
784	903	247
785	904	246
786	905	245
787	906	243
788	907	242
789	908	241
790	909	240
791	909	238
792	910	237
793	911	236
794	912	235
795	913	234
796	914	232
797	915	231
798	916	230
799	917	229
800	918	228
801	919	226
802	920	225
803	920	224
804	921	223
805	922	222
806	923	220
807	924	219
808	925	218
809	926	217
810	927	216
811	928	214
812	929	213
813	930	212
814	931	211
815	932	210
816	933	209
817	934	207
818	934	206
819	935	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	942	195
828	943	194
829	944	193
830	945	192
831	946	191
832	947	189
833	948	188
834	949	187
835	950	186
836	951	185
837	951	184
838	952	182
839	953	181
840	954	180
841	955	179
842	956	178
843	956	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	963	170
850	964	168
851	965	167
852	966	166
853	967	165
854	968	164
855	969	163
856	970	161
857	970	160
858	971	159
859	972	158
860	973	157
861	974	156
862	975	154
863	976	153
864	977	152
865	978	151
866	979	150
867	980	149
868	981	147
869	982	146
870	983	145
871	983	144
872	984	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	991	135
880	992	134
881	993	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	998	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1004	119
894	1005	117
895	1006	116
896	1007	115
897	1008	114
898	1009	113
899	1009	112
900	1010	111
901	1011	109
902	1012	108
903	1013	107
904	1014	106
905	1015	105
906	1017	104
907	1018	103
908	1019	102
909	1020	100
910	1021	99
911	1022	98
912	1022	97
913	1023	96
914	1024	95
915	1025	94
916	1026	92
917	1027	91
918	1028	90
919	1029	89
920	1029	88
921	1030	87
922	1031	86
923	1032	84
924	1033	83
925	1034	82
926	1035	81
927	1036	80
928	1036	79
929	1037	78
930	1038	76
931	1039	75
932	1040	74
933	1041	73
934	1041	72
935	1042	71
936	1043	70
937	1044	69
938	1045	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
950	1057	54
951	1061	53
952	1062	52
953	1064	51
954	1066	50
955	1067	49
956	1068	48
957	1069	46
958	1070	45
959	1071	44
960	1073	43
961	1074	42
962	1075	41
963	1076	40
964	1077	39
965	1079	37
966	1081	36
967	1082	35
968	1083	34
969	1084	33
970	1086	32
971	1087	31
972	1089	30
973	1090	29
974	1091	27
975	1092	26
976	1094	25
977	1096	24
978	1097	23
979	1098	22
980	1099	21
981	1101	20
982	1102	19
983	1104	17
984	1105	16
985	1107	15
986	1108	14
987	1109	13
988	1111	12
989	1113	11
990	1114	10
991	1116	9
992	1117	7
993	1118	6
994	1119	5
995	1121	4
996	1122	3
997	1123	2
998	1124	1
999	1125	0
